yearmonth,date,reviewID,reviewerID,reviewContent,rating,usefulCount,coolCount,funnyCount,flagged,hotelID,year,month,yearmonth
2005-11,15-Nov-05,uVBV3,BuLb6mmPyLqFNpWH6qWX3Q,What an amazing place this is. The lobby is breathtaking and the artwork was recently restored. An excellent place for a wedding reception or special function. One of the most elegant hotels in the the area if not the Midwest.,5,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2005,11,2005-11
2005-11,23-Nov-05,4UZJNqyfugeB3dnNPddtwA,VnlUnPrfae-fbqDoXuvDbw,I haven't stayed the night here but I was inside briefly and it's so nice! The decoartions and the way the hotel presents itself is very classy. The front desk people were super friendly and helfpul. I think if I did end up staying here I would be very satisfied.,4,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2005,11,2005-11
2005-11,14-Nov-05,NrgJJrMo82hseP5khy9N4g,1wd0Xm7PebUxfexwLjHUtQ,I went here for a wedding reception about a year ago.  This place was really nice.  The ball room was huge and beautiful.  I also got to see one of the rooms and it was amazing!!,5,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2005,11,2005-11
2005-11,15-Nov-05,uVBV3_nvAIDomgUT1PsaEQ,BuLb6mmPyLqFNpWH6qWX3Q,What an amazing place this is. The lobby is breathtaking and the artwork was recently restored. An excellent place for a wedding reception or special function. One of the most elegant hotels in the the area if not the Midwest.,5,0,0,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2005,11,2005-11
2006-7,14-Jul-06,JKknzjO2zv3wa,8dMYOnvaYRsOWgUJSOgzrA,"I Pricelined a hotel in the loop and ended up with the Palmer House for a last minute trip to Chicago on June 2 - June 6. Thanks to reviews I read on TripAdvisor I knew to request a room with 2 double beds and 2 bathrooms - I was able to get one on the 20th floor at no extra charge. The room was huge and very comfortable. We didn't have a view but that didn't matter much to me. What a great location!  Walkable to Millennium Park and The Art Institute of Chicago. The hotel is also right by major bus lines and the CTA red and blue lines. We took the blue line from O'Hare and only had to walk about 2 blocks to get to the hotel (trip was about 45 minutes). There are 3 hotel entrances so you can enter/exit on Monroe, Wabash, or State streets - very convenient. Just be aware that the Wabash and State street entrances close after a certain time in the evening, probably around 11pm.  Also be advised that lots of eating establishments in the area close early - you'll be out of luck if you're hungry at 9 or 10pm! The hotel has about 12 elevators but they only service certain floors so we only had access to 3 and they were VERY slow. On a side note, I have Cingular and I had very spotty reception in the room. Lots of dropped calls. All in all we had a great experience at the Palmer House. I would definitely recommend it if you are able to get a good price on Priceline.",4,3,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2006,7,2006-7
2006-7,06-Jul-06,Icg6WFwXZpugqK2nP1uVqA,9lhqQ3nrs9V48jzfVn7a1A,Ummm..... entertainingly opulent.,4,2,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2006,7,2006-7
2006-7,14-Jul-06,JKknzjO2zv3wa_5dsk6J4A,8dMYOnvaYRsOWgUJSOgzrA,"I Pricelined a hotel in the loop and ended up with the Palmer House for a last minute trip to Chicago on June 2 - June 6. Thanks to reviews I read on TripAdvisor I knew to request a room with 2 double beds and 2 bathrooms - I was able to get one on the 20th floor at no extra charge. The room was huge and very comfortable. We didn't have a view but that didn't matter much to me. What a great location!  Walkable to Millennium Park and The Art Institute of Chicago. The hotel is also right by major bus lines and the CTA red and blue lines. We took the blue line from O'Hare and only had to walk about 2 blocks to get to the hotel (trip was about 45 minutes). There are 3 hotel entrances so you can enter/exit on Monroe, Wabash, or State streets - very convenient. Just be aware that the Wabash and State street entrances close after a certain time in the evening, probably around 11pm.  Also be advised that lots of eating establishments in the area close early - you'll be out of luck if you're hungry at 9 or 10pm! The hotel has about 12 elevators but they only service certain floors so we only had access to 3 and they were VERY slow. On a side note, I have Cingular and I had very spotty reception in the room. Lots of dropped calls. All in all we had a great experience at the Palmer House. I would definitely recommend it if you are able to get a good price on Priceline.",4,3,1,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2006,7,2006-7
2006-11,27-Nov-06,hro9zIoqmbtt8b6zx-MvVg,Q-uZnIKZ2Vdq00WRYgeIiA,Everything but the room was great. I didn't like the room because it was very small. I guess it's because this hotel is old so the rooms have not been refreshed in quite sometime. But lobby and the services the hotel provides are great. ----------------- EDIT: Looks like they did some renovations.. rooms are awesome now.. Definitely a good place.. i upgrade my starts on this,5,1,2,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2006,11,2006-11
2006-11,05-Nov-06,2wk7bBOU0brTrygpCmjnSg,HS2eWPhgLT4CqdQrrvQJBA,"I had to walk a dog in this hotel once. Not only is parking down town impossible but they make worse. I had to go to this place 3 times on a weekend, (sat & sun) They wouldnt allow me to park in front. I ended up haveing to spend money for a parking garage. NO parking down town ever of course but when i got inside the staff at the front desks were rude. Like i was impossing on them. I was walking a dog for a wedding in their hotel you would think they would be more polite. But they werent",3,2,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2006,11,2006-11
2007-5,12-May-07,LnZ6EZBdviLT6Shf5GjQnw,V7N4zvbBz4xz_NCTRm-yfA,"If you're looking to spend a lot of time in your room, you probably won't like the Palmer House. The rooms are fairly small, though certainly clean and well appointed. I stayed in a single room -- which is to say it had one double bed -- and it probably wasn't much bigger than your bedroom at home. Depends on your home, of course. And it's hard to judge, since in addition to the bed, there was a desk with a chair, a no-longer-in-service minibar, a side table, and an armoire with a TV. More furniture than would fit in my bedroom. But I digress. I've seen single rooms with king sized beds that were larger than this, and the double rooms are quite a bit larger. But if you're staying in downtown Chicago, what are you doing staying in your room? So what if it's small -- it's within walking distance of everything. Get out! Also, the Palmer House has an honest to goodness lobby, where you can sit and relax and have a drink and even eat, depending on the time of day. And it's a huge and beautiful lobby. So if your room is small, but you don't want to leave the hotel, and you aren't completely afraid of other people, hang out in the lobby. The Palmer House was built at a time when people socialized. They enjoyed it, even! Socialize. The registration area is surprisingly tiny, and the hotel is undergoing renovations, so only one entrance is available (on Monroe) and some areas are blocked off. The hotel is a destination spot for proms and business meetings/conventions/seminars, so be prepared for some congestion. And elevators are slow. But these are minor quibbles in a grand old hotel. Don't expect the latest Vegas luxury resort, and you'll be fine. An historical side note: the chef at the Palmer House invented the brownie, more than 100 years ago. The Palmer House still sells their signature brownies. At 10 bucks a pop. I passed.",4,6,2,1,N,2m_KBLL9Bk_dwZ5n5b11nw,2007,5,2007-5
