date,reviewID,reviewerID,reviewContent,rating,usefulCount,coolCount,funnyCount,flagged,hotelID
25-Sep-12,VFwEE5ioM28UodyACqNFxA,PLOYtrCMUFPHQe2IbYAd5g,"I've been watching reruns of Boardwalk Empire and think this hotel lobby is the perfect place to live out my Margaret Schroeder fantasies (except for the making-out-with-Steve-Buscemi part, no thanks). First off, the place is massive! There's a whole shopping arcade in the ground floor level including the righteous Merz Apothecary. Ascend the glorious staircase to the extravagantly decorated lobby and admire the decor while sipping a cocktail at the turn of the century bar. If you're really feeling opulent, there's high tea on the weekends. The location can't be beat - it's right in the heart of the Loop, close to the historic Marshall Fields building (now sadly a craptastic Macy's). Whether you stay here or just stop in to admire this architectural gem, you'll be transported back in time. Maybe you'll meet your own Jimmy Darmody here....you never know.",5,1,2,2,N,2m_KBLL9Bk_dwZ5n5b11nw
18-Sep-12,6TLqQSNn2LUtp9icA5k1ug,G3wDvvYAbICXm2VORleVvw,"Absolutely beautiful, elegant and amazing hotel.  Super accommodating and great views from some of the rooms. Here's all the details: The hotel is just gorgeous inside.  The main lobby area has a really high ceiling and you can tell that a lot of time and detail was put into this hotel.  There is a bar and lounge area which is just as nice.  This is not a modern and trendy hotel, it is an elegant hotel.   Service is phenomenal as well.  The front desk was so kind to me and understanding that I was freaking out because it was my boyfriend's 30th birthday and I wanted everything to be perfect.  I called to ask them to put some more ice on the champagne in our room because dinner ran late and they did, no questions asked!   The rooms are really nice and you can tell that everything is of good quality.   It is a large hotel, so sometimes the elevator may take an extra minute or the line to check in at exact check in time might be long, but it is all worth it.  It's in a great location as well, right in the downtown loop area.  Walking distance to almost anything your hear desires.   Take a cab everywhere that's far if you're from out of town so you don't get lost on the wrong train.  :)   I have been here for a wedding before and that was amazing as well.   The hotel is a bit pricey, but worth it.",5,0,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw
13-Sep-12,Sh,Uw2v16SKvj9uiheMp1q4oA,"This place is in a great location and is beautiful, but that's about it.  It is way too crowded, long lines at the check in and check out, people EVERYWHERE and really long walks to the rooms.  Riding the elevators in the morning took longer than my commute to work.  It is just a big hotel with way too many people staying there.   Oh, and my key quit working, which create about 20 minutes of logistics in the morning and made me late for the meeting I traveled to Chicago for in the first place.  Palmer House, while beautiful, has bit off more than they can chew with this monstrosity of a hotel.  Not a good place to stay if you are on business travel.",2,1,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
24-Sep-12,MRlg,ungvf-MPW7P7ZzLMW_48Rg,"I would say just OK. Way too long of lines for everything, check-in, concierge etc. Bars close too early. Elevator shaft was next to our room so it was constantly making noise. Decent lobby but it is too small for the amount of people everywhere. Some areas near are a little sketchy also.",3,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
08-Sep-12,i0GeMxqaXYLJW7gRu37yvA,h9MZv5I1hvTX1kkzq-3Cvg,"I returned last weekend for the Chicago Fire game. Our rate, thanks to the entertainment book you can buy from a local school, was 50% off. For Labor Day weekend, our room rate was $143/night, which was not bad for the location of the hotel (1.5 blocks from Millennium Park). The three stars is because of the bathroom. The bathtub drain didn't work! I had to unscrew the drain and started pulled out hair and a sponge clogging the drain. GROSS. I saw a bandaid in the drain too, but I didn't bother going any further. But worst of all, the maid knew the drain was clogged. When we returned to the room, I noticed the drain was unscrewed and left in the bathtub; we had left it screwed into the bathtub. So I thought, ""Oh good, the maid unclogged the drain."" WRONG. If it wasn't for the location and excellent service right outside the hotel, I would give this hotel two stars. The front door guys are very helpful with directions. They also recognized after our second trip to the hotel, and they always hit the open door button for us. That's service. The checkout process took 10 minutes, since video checkout wasn't working. The ""zip it"" line you call that states you cannot leave a message actually transfers you to someone instead of confirming automatically you're checked out (which is the impression I received). So, keep this in mind when it's a busy weekend!",3,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
25-Sep-12,pVEH5NQT6eIF6M4hRHr8jA,RNyOJTQN0d8zaEGLwJszLw,"This place double booked my hotel and gave me a voucher to use in a future stay oops, they will never let you use the voucher.  They always have space until you tell them you have the voucher.  Total joke I was just on hold for over 10-15 min trying to get approval again a huge disappointment! I would never stay at this hotel in Chicago and would let everyone else know that the management talks out of both side of their mouths.  What a total joke!  Find a better hotel anywhere but here",1,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
21-Aug-12,1RtngJ2mLnEnTm6d9G9B9w,QnLmDxakrE__v9gg68NIsA,"Got a great deal on this hotel using http://Priceline.com and couldn't have asked for a better place to stay while visiting Chicago. Our room on the 18th floor was clean, but the bathroom was a little small. I love that they use Peter Thomas Roth toiletries as oppose to generic hotel brands. The hotel is conveniently located in downtown Chicago near popular tourist spots (with the exception of Navy Pier), great restaurants, and shops.  My boyfriend and I did more walking than we did public transportation.   My only complaint was that this hotel doesn't have a complimentary coffee maker and you have to buy coffee outside of the hotel or the Starbucks in the lobby.   Also, be sure to check out Balance Spa & Fitness at the hotel if you want to get a massage, nails, and hair done for a day or  night out. Online booking available at http://www.balancespachi… There is a health club there too, but you don't get any discounts for being a hotel guest. Fee to use their gym is $10.  You're better off walking and wandering around Chicago if you want to get exercise.",5,2,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
30-Aug-12,HE9Tr-EYeu7kEQxVxmZCXA,U8L7NKdNit6F5nny3KpEBw,"The only thing this hotel can offer are elegant interior decors. Lots of room for improvement. 1. Took me 25 minutes and 3 phone calls to have a bellman help me take my luggage from my room. I'm surprised by this inefficiency. 2. As early as by 830am, I have a maid knocking on the door yelling ""house-keeping"". Seriously? People are still sleeping! 3. Now this one really kills me. We upgraded the room to be on one of the highest floors. Guess what view we have for paying the extra? Another building's firewall. Seriously? There's no reason for the extra charge if you get the same crappy view, just on a higher floor. 4. Walls are thin, you can definitely hear the hallways and neighbors. Not an entirely horrible stay if you're into interior decor. Otherwise, not much to expect.",2,1,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw
27-Jul-12,uB7wfOxnP3lHu-Pjw79-Pg,DAeC-Y66n-jNMJJw4oAfNQ,"The best hotel lobby I have ever seen!! Not many hotel lobbies can compare to the Palmer House lobby. It is breathtaking. An architectural masterpiece! This is my favorite big hotel in the country mainly because of the history, lobby, excellent service, and location. The hotel has three exits/entrances that give you access to three different streets so you are steps away from public transportation, the Berghoff, Millenium Park, and basically anywhere else downtown. The rooms are hit or miss. I have stayed in rooms that were updated and modern. I have also stayed in rooms that were old and dreary-looking. I will say that all of the rooms are very clean so that is always a major plus. The only reasons this hotel doesn't get a 5-star review are because they don't offer free wifi in the room (they charge $7.50 per HOUR to get access in your room), they charge $10 per day to use the fitness center even for hotel guests, and not all of the rooms are renovated. These are all major shortcomings of the hotel but I still love the Palmer House. The Palmer House will always be my preferred place to stay in the city because of the aforementioned benefits that this hotel provides.",4,6,2,1,N,2m_KBLL9Bk_dwZ5n5b11nw
16-Aug-12,YwgxG-5ZUJRl6RK5n5CX1g,HP0VqtQ21tcmLisoI3gY5w,"This hotel is BEAUTIFUL! It has the most beautiful lobby and check in area I have ever seen.  Also because of this and the fact that it's historic.. it's incredibly expensive.   When you first walk in there is staff ready and waiting to help you.  It has an elegant entry way, 70+ foot ceilings, plenty of luxury seating, chandeliers, and golden elevators.  Even if you aren't staying here it is worth a visit.   The staff is incredibly helpful and the front desk is more than accommodating if you forgot something or need directions.   It is located right off the L and the parking is incredibly expensive.  What I did was park by Loyola University on the street for free (the campus outside of Chicago) and then took the L downtown.   The restaurants provided in the hotel are very delicious but expect to pay for what you are getting.  It's quite expensive.  There is however a Starbucks located on the ground floor that has normal pricing.  But it is packed in the morning!",5,0,0,1,N,2m_KBLL9Bk_dwZ5n5b11nw
04-Sep-12,G8S9Foxiiq7InNxT8DuKgw,F1qR_cbb4vnWKSZa4ugwCw,"Stopped for drinks while wandering the loop. I love this hotel. It is absolutely gorgeous. I wish I was staying there while I visited. Piece of history, well maintained, and incredible service.",5,1,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw
18-Jul-12,DNXVBpIti-UZGx4LKignPw,oXYuRa_UDJqcfxfjOPRKxA,"Currently staying at the Palmer House Hilton during a conference and as old as this building is, I am very pleased with my stay. You can tell that the staff is proud of the hotel because every single staff member, I had the honor of meeting, was very friendly and eager to assist and the hotel is beautifully maintained. The lobby was exquisite...if you appreciated art the way I do, the art on the ceiling will have you walking straight while staring at the ceiling...needless to say, I bumped into a lot of people. Check-in was pretty smooth. Tyler took good care of us allowing us to check-in a few hours early and was happy to answer all of our crazy questions. Our room was on the Executive Floor. Key entry to ride the private elevator to heaven :) The elevator even had a bench for those people who are to lazy to stand lol. We arrive on the 23rd floor and excitement sets in. Let me tell you, Exective level is where its at! Snacks, soda, water available 24/7, Hot hor d'ourves available from 5-7pm, Complimentary contiental breakfast available every morning (not talking bagels and juice...Cold cuts, boiled eggs, plain yogurt, granola, breads, muffins, cereals, juices, coffee, hot oatmeal...sheesh What a spread!!), The room was very clean with a pleasant scent. The bed linens were plush which made it very difficult for me to leave each morning. Only gripe I had was it took me at least 5 minutes to at least turn on the shower each morning....I even had to call the maintence man one morning to demonstrate how to turn it on....he mumbled something about a German design...blah blah. Also, enjoyed a wonderful and filling lunch at Lockwood Restaurant in the lobby.  Try the Ahi Tuna burger and fries.....do yourself the favor, you deserve it! :)",4,2,3,2,N,2m_KBLL9Bk_dwZ5n5b11nw
